index,forecast
2021-06-30 23:00:00,8.454093886739209
2021-07-01 00:00:00,14.279563143832691
2021-07-01 01:00:00,3.667399708176788
2021-07-01 02:00:00,13.72507872256539
2021-07-01 03:00:00,3.42538058888947
2021-07-01 04:00:00,16.77760894193673
2021-07-01 05:00:00,13.107266809668026
2021-07-01 06:00:00,20.29946832670536
2021-07-01 07:00:00,15.168134143831585
2021-07-01 08:00:00,24.12495497252815
2021-07-01 09:00:00,17.79090497529633
2021-07-01 10:00:00,32.80959495437375
2021-07-01 11:00:00,17.631839742183622
2021-07-01 12:00:00,19.297146273274006
2021-07-01 13:00:00,10.910341741074703
2021-07-01 14:00:00,24.201190538566205
2021-07-01 15:00:00,12.261567363905156
2021-07-01 16:00:00,16.61626386595435
2021-07-01 17:00:00,15.247703725210386
2021-07-01 18:00:00,16.73970191573195
2021-07-01 19:00:00,8.108941592569598
2021-07-01 20:00:00,18.278681002332906
2021-07-01 21:00:00,3.5190308324178234
2021-07-01 22:00:00,17.21161730206612
2021-07-01 23:00:00,3.0523566469557304
