dateTime,news,sports,scitech,politics,entertainment,travel,business,healthcare
2021-06-30 00:00:00,18,2,9,5,15,5,15,5.0
2021-06-30 01:00:00,18,1,5,8,12,2,18,6.0
2021-06-30 02:00:00,15,1,3,5,11,8,17,3.0
2021-06-30 03:00:00,14,1,6,3,9,5,18,6.0
2021-06-30 04:00:00,14,1,8,3,10,6,12,0.0
2021-06-30 05:00:00,16,8,7,2,5,4,12,1.0
2021-06-30 06:00:00,10,6,1,2,6,5,19,4.0
2021-06-30 07:00:00,10,7,5,2,3,8,17,2.0
2021-06-30 08:00:00,11,8,5,6,3,7,17,2.0
2021-06-30 09:00:00,16,8,5,5,4,7,24,5.0
2021-06-30 10:00:00,18,11,6,10,4,9,33,4.0
2021-06-30 11:00:00,20,15,13,15,5,4,26,1.0
2021-06-30 12:00:00,24,14,12,7,13,5,35,3.0
2021-06-30 13:00:00,32,19,13,7,12,10,44,6.0
2021-06-30 14:00:00,33,20,12,9,24,7,51,8.0
2021-06-30 15:00:00,50,21,14,9,25,6,53,8.0
2021-06-30 16:00:00,34,16,14,16,26,5,38,8.0
2021-06-30 17:00:00,35,16,9,11,22,6,40,8.0
2021-06-30 18:00:00,29,14,7,10,16,11,27,6.0
2021-06-30 19:00:00,36,11,16,19,26,7,32,8.0
2021-06-30 20:00:00,33,12,4,15,13,4,27,6.0
2021-06-30 21:00:00,20,18,7,10,17,4,21,6.0
2021-06-30 22:00:00,29,9,7,8,23,9,21,7.0
2021-06-30 23:00:00,23,2,13,5,13,5,16,7.0
