dateTime,pos,neg,neu
2021-06-30 00:00:00,28,22,24
2021-06-30 01:00:00,30,14,26
2021-06-30 02:00:00,28,16,19
2021-06-30 03:00:00,25,17,20
2021-06-30 04:00:00,25,11,18
2021-06-30 05:00:00,25,7,23
2021-06-30 06:00:00,23,11,19
2021-06-30 07:00:00,24,12,18
2021-06-30 08:00:00,28,17,14
2021-06-30 09:00:00,34,19,21
2021-06-30 10:00:00,50,14,31
2021-06-30 11:00:00,46,23,30
2021-06-30 12:00:00,47,25,41
2021-06-30 13:00:00,66,29,48
2021-06-30 14:00:00,81,37,46
2021-06-30 15:00:00,104,29,53
2021-06-30 16:00:00,82,30,45
2021-06-30 17:00:00,67,27,53
2021-06-30 18:00:00,65,23,32
2021-06-30 19:00:00,78,28,49
2021-06-30 20:00:00,50,26,38
2021-06-30 21:00:00,48,10,45
2021-06-30 22:00:00,59,18,36
2021-06-30 23:00:00,38,16,30
